選択,基準日,方向,銘柄,エントリー時刻,クローズ時刻,保有時間,開始時,跨ぎフラグ,勝率_30日,勝率_90日,勝率_365日,勝率_平均,勝率重視ポイント,利益効率ポイント,時間効率ポイント,最大利益ポイント,勝率重視ポイントUS,利益効率ポイントUS,時間効率ポイントUS,最大利益ポイントUS,合計変動pips_30日,合計変動pips_90日,合計変動pips_365日,合計変動pips_平均,利益効率σ_30日,利益効率σ_90日,利益効率σ_365日,利益効率σ_平均,勝率重視スコア,利益効率スコア,時間効率スコア,最大利益スコア,変動値σ_pips_30日,変動値σ_pips_90日,変動値σ_pips_365日,変動値σ_pips_平均,平均スプレッドpips_30日,平均スプレッドpips_90日,平均スプレッドpips_365日,平均スプレッドpips_平均
FALSE,2025-07-20,Long,GBPUSD,2:02:00,2:23:00,21,2,0,86.36%,52.31%,44.79%,61.15%,,,,,,,,,56.0,-32.2,-214.5,-63.6,2.26,-0.63,-1.82,-0.06,81.76,-1.32,3.36,9.18,5.23,6.48,7.29,6.33,1.0,1.0,1.0,1.0
FALSE,2025-07-20,Short,USDJPY,4:11:00,4:29:00,18,4,0,86.36%,63.08%,46.33%,65.26%,,,,,,,,,14.6,10.8,-151.5,-42.0,0.66,0.21,-1.14,-0.09,87.24,-2.01,0.74,1.74,4.63,6.29,8.27,6.40,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,21:25:00,21:29:00,4,21,0,85.71%,52.31%,50.00%,62.67%,,56,,,,44,,,46.9,10.6,65.6,41.0,3.07,0.33,0.86,1.42,83.79,30.97,37.59,19.57,3.32,3.88,4.99,4.06,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,EURUSD,8:54:00,9:01:00,7,8,1,85.71%,66.15%,46.33%,66.07%,23,,,,,,,,28.3,45.7,-90.6,-5.5,3.65,1.70,-2.03,1.11,88.32,24.11,16.62,15.14,1.70,3.27,2.96,2.64,0.3,0.3,0.3,0.3
FALSE,2025-07-20,Short,AUDJPY,10:01:00,10:31:00,30,10,0,85.71%,63.08%,51.35%,66.71%,,,,,,,,,76.9,91.5,-99.1,23.1,1.54,0.90,-0.45,0.66,89.19,14.42,13.46,52.53,11.02,12.47,14.14,12.54,0.5,0.5,0.6,0.5
FALSE,2025-07-20,Long,USDJPY,10:55:00,10:59:00,4,10,0,85.71%,60.00%,50.19%,65.30%,,,,,23,,,,23.3,25.5,-36.9,4.0,2.80,0.85,-0.41,1.08,87.3,23.54,19.2,9.99,1.81,3.74,5.75,3.77,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,EURJPY,12:05:00,12:28:00,23,12,0,85.71%,64.62%,50.58%,66.97%,,,,,,,,,63.2,91.6,-39.6,38.4,2.99,1.44,-0.27,1.39,89.53,30.27,8.9,26.65,4.61,7.65,9.67,7.31,0.4,0.4,0.4,0.4
FALSE,2025-07-20,Long,CADJPY,12:09:00,12:35:00,26,12,0,85.71%,56.92%,46.33%,62.99%,,,,,,,,,36.3,34.2,-257.3,-62.3,2.19,0.65,-1.98,0.29,84.21,6.23,3.75,12.67,3.62,6.51,7.98,6.04,0.6,0.7,0.7,0.7
FALSE,2025-07-20,Long,CHFJPY,12:09:00,12:35:00,26,12,0,85.71%,56.92%,45.95%,62.86%,,,,,,,,,91.7,62.1,-347.9,-64.7,3.77,0.95,-2.25,0.82,84.04,17.95,6.72,22.74,5.30,7.79,9.78,7.62,0.8,0.9,0.9,0.9
FALSE,2025-07-20,Long,USDJPY,12:10:00,12:39:00,29,12,0,85.71%,64.62%,52.12%,67.48%,,,,,,,,,102.6,163.0,-61.8,67.9,3.63,1.62,-0.31,1.65,90.22,35.97,14.04,52.98,6.16,12.60,12.19,10.32,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,12:10:00,12:40:00,30,12,0,85.71%,63.08%,51.74%,66.84%,,,,,,,,,108.5,169.9,-65.8,70.9,3.45,1.61,-0.30,1.59,89.36,34.66,14.29,55.77,6.84,13.19,12.69,10.91,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,12:10:00,12:38:00,28,12,0,85.71%,61.54%,52.51%,66.59%,,,,,,,,,92.2,137.7,-55.0,58.3,3.06,1.40,-0.28,1.39,89.02,30.38,12.8,46.62,6.57,12.35,12.00,10.31,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,GBPJPY,12:10:00,12:40:00,30,12,0,85.71%,58.46%,48.26%,64.15%,,,,,,,,,114.9,111.5,-335.6,-36.4,3.32,1.08,-1.45,0.99,85.76,21.5,8.12,31.69,7.54,12.67,14.44,11.55,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,GBPJPY,12:10:00,12:39:00,29,12,0,85.71%,58.46%,47.49%,63.89%,,,,,,,,,114.4,121.1,-321.4,-28.6,3.77,1.30,-1.45,1.21,85.41,26.36,8.66,32.68,6.62,11.44,13.86,10.64,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,USDJPY,12:11:00,12:39:00,28,12,0,85.71%,64.62%,53.28%,67.87%,,,,,,,,,97.1,162.9,-32.9,75.7,3.80,1.75,-0.17,1.79,90.74,39.09,14.2,51.75,5.58,11.63,11.69,9.63,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,12:11:00,12:38:00,27,12,0,85.71%,63.08%,52.12%,66.97%,,,,,,,,,86.7,137.6,-26.1,66.1,3.26,1.52,-0.14,1.55,89.53,33.7,12.92,45.39,5.80,11.35,11.45,9.54,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,GBPJPY,12:11:00,12:39:00,28,12,0,85.71%,58.46%,48.26%,64.15%,,,,,,,,,107.5,123.7,-324.3,-31.0,3.98,1.40,-1.54,1.28,85.76,27.89,8.53,31.08,5.90,10.86,13.10,9.95,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,USDJPY,12:12:00,12:38:00,26,12,0,85.71%,58.46%,51.74%,65.30%,,,,,,,,,85.7,120.8,-59.4,49.0,3.05,1.33,-0.32,1.35,87.31,29.52,12.48,42.22,6.13,11.42,11.44,9.67,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,GBPJPY,12:14:00,12:39:00,25,12,0,85.71%,61.54%,48.26%,65.17%,,,,,,,,,105.3,127.7,-325.3,-30.8,3.30,1.48,-1.65,1.04,87.13,22.67,9.47,30.81,6.97,10.67,12.29,9.98,0.9,0.9,1.0,0.9
